"","farm","name","area","type","date_planting","dist_inter_rang","dist_inter_plant","lat","lon"
"243",2,"LES PRUCHES D'EN HAUT",0.049,2,NA,1,1.15,49.156744,4.062434
"244",2,"LES GRANDES CRIERES",0.0767,2,NA,1,1.15,49.156744,4.062434
"245",2,"LE HAUT BELAI",0.2154,2,NA,1,1.15,49.156744,4.062434
"246",2,"LES HAIES DU PRE",0.024,2,NA,1,1.15,49.156744,4.062434
"247",2,"LES RUELLES",0.201,2,NA,1,1.15,49.156744,4.062434
"248",2,"LE CHAMP RICHARD",0.0467,2,NA,1,1.15,49.156744,4.062434
"249",2,"LE HAUT BELAI",0.2164,3,NA,1,1.15,49.156744,4.062434
"250",2,"LES CHAMPS BAYARD",0.0467,3,NA,1,1.15,49.156744,4.062434
"251",3,"LA MALADRERIE",0.1307,3,NA,1,1.15,49.156744,4.062434
"252",3,"LES PISSOTTES",0.1755,3,NA,1,1.15,49.156744,4.062434
"253",3,"Les Amis les Champs",0.084,1,NA,1,1.15,49.156744,4.062434
"254",3,"La Maladrerie (Matu)",0.2103,1,NA,1,1.15,49.156744,4.062434
"255",3,"Les Pruches d'en Haut",0.1232,1,NA,1,1.15,49.156744,4.062434
"256",3,"Les Sabinettes",0.119,1,NA,1,1.15,49.156744,4.062434
"257",3,"La Grande Crière",0.0587,1,NA,1,1.15,49.156744,4.062434
"258",3,"Les Noues",0.073,1,NA,1,1.15,49.156744,4.062434
"259",3,"La Maladrerie ",0.1917,1,NA,1,1.15,49.156744,4.062434
"260",3,"Les Bassignons",0.1032,2,NA,1,1.15,49.156744,4.062434
"261",3,"Les Sabinettes",0.0642,3,NA,1,1.15,49.156744,4.062434
"262",3,"Les Beaunes  (Matu)",0.1971,3,NA,1,1.15,49.153973,4.079386
"263",3,"Les Noues",0.094,3,NA,1,1.15,49.156744,4.062434
"264",3,"LES SENTIERS",0.2724,3,NA,1,1.15,49.153973,4.079386
"265",4,"LES SENTIERS",0.2006,2,NA,1,1.15,49.153973,4.079386
"266",4,"LES GAROLES",1.1377,1,NA,1,1.15,49.156744,4.062434
"267",4,"LES HAIES DU PRE",0.719,2,NA,1,1.15,49.156744,4.062434
"268",4,"LES BEAUX REGARDS                  ",0.0671,1,NA,1,1.15,49.153973,4.079386
"269",4,"LE NOYER L'HERBIER                 ",0.1457,1,NA,1,1.15,49.153973,4.079386
"270",4,"LES PECHERINES                     ",0.00369,1,NA,1,1.15,49.156744,4.062434
"271",4,"DERRIERE LES MAISONS               ",0.368,1,NA,1,1.15,49.156744,4.062434
"272",4,"LES BARBES                         ",0.87,1,NA,1,1.15,49.192788,4.045117
"273",4,"AMI LES CHAMPS                     ",0.0778,1,NA,1,1.15,49.156744,4.062434
"274",4,"LES BEAUNES                        ",0.1699,1,NA,1,1.15,49.153973,4.079386
"275",4,"PLATE PIERRE",0.5127,1,NA,1,1.15,49.234043,3.792313
"276",4,"AMI LES CHAMPS                     ",0.01045,2,NA,1,1.15,49.156744,4.062434
"277",4,"LE HAUT BELAI                      ",0.0524,2,NA,1,1.15,49.153973,4.079386
"278",4,"LES CARRIERES                      ",0.0117,2,NA,1,1.15,49.156744,4.062434
"279",4,"LES BEAUNES                        ",0.058,2,NA,1,1.15,49.153973,4.079386
"280",4,"LES COUTURES D'EN BAS              ",0.0594,3,NA,1,1.15,49.153973,4.079386
"281",4,"LES VOIES DE CHIGNY                ",0.058,3,NA,1,1.15,49.164237,4.048227
"282",4,"LES NOUES                          ",0.0863,3,NA,1,1.15,49.153973,4.079386
"283",4,"LES BEAUNES                        ",0.0822,3,NA,1,1.15,49.153973,4.079386
"284",4,"LES PETITES CRIERES                ",0.099,3,NA,1,1.15,49.153973,4.079386
"285",4,"LES BEAUNES                        ",0.1914,3,NA,1,1.15,49.153973,4.079386
"286",4,"BROUILLET Meuniuer",0.3,1,NA,1,1.15,49.2261584,3.8197782
"287",5,"BROUILLET Pinot",0.2761,3,NA,1,1.15,49.2261584,3.8197782
"288",5,"GD MÈRE",0.1527,3,NA,1,1.15,49.2261584,3.8197782
"289",5,"GD MÈRE MARCEL",0.1421,3,NA,1,1.15,49.2261584,3.8197782
"290",5,"WALIN PLT1",0.7033,1,NA,1,1.15,49.2261584,3.8197782
"291",5,"WALIN PINOT",0.3,3,NA,1,1.15,49.2261584,3.8197782
"292",5,"WALIN ht vielle",0.3,1,NA,1,1.15,49.2261584,3.8197782
"293",5,"WALIN GD",1.07,1,NA,1,1.15,49.2261584,3.8197782
"294",5,"QUAI PLANTES",0.35,1,NA,1,1.15,49.2261584,3.8197782
"295",5,"BAS RUISSEAU2009",0.32,1,NA,1,1.15,49.2261584,3.8197782
"296",5,"RUISSEAU MEUNIER2007",0.3,1,NA,1,1.15,49.2261584,3.8197782
"297",5,"RUISSEAU  MEUNIER2002",0.275,1,NA,1,1.15,49.2261584,3.8197782
"298",5,"RUISSEAU  PINOT",8e-04,3,NA,1,1.15,49.2261584,3.8197782
"299",5,"RUISSEAU CHARD",0.0248,2,NA,1,1.15,49.2261584,3.8197782
"300",5,"RUISSEAU FOND",0.38,1,NA,1,1.15,49.2261584,3.8197782
"301",6,"COUTURES 1985",0.5473,1,NA,1,1.15,49.156744,4.062434
"302",6,"COUTURES PETITES 1987",0.1654,1,NA,1,1.15,49.156744,4.062434
"303",6,"DESSOUS LE MONT 1968",0.1164,1,NA,1,1.15,49.156744,4.062434
"304",6,"MOULINS plt 1993",0.0694,1,NA,1,1.15,49.156744,4.062434
"305",6,"MOULINS vx 1967",0.128,1,NA,1,1.15,49.156744,4.062434
"306",6,"NOUES GD 1972",0.2194,1,NA,1,1.15,49.156744,4.062434
"307",6,"BASSEIGNANTS 2013",0.1942,2,NA,1,1.15,49.156744,4.062434
"308",6,"BEAUX REGARDS B 1992",0.1059,2,NA,1,1.15,49.153973,4.079386
"309",6,"GROSSES PIERRES 2008",0.155,2,NA,1,1.15,49.153973,4.079386
"310",6,"HOCATS 2009",0.0815,2,NA,1,1.15,49.153973,4.079386
"311",6,"RUELLES 1997",0.0656,2,NA,1,1.15,49.156744,4.062434
"312",6,"TONNELLES Blancs 2011",0.22,2,NA,1,1.15,49.164237,4.048227
"313",6,"TONNELLES Blancs 2015",0.2015,2,NA,1,1.15,49.164237,4.048227
"314",6,"BEAUNES GD 1980",0.1215,3,NA,1,1.15,49.153973,4.079386
"315",6,"BEAUNES PT 1980",0.0795,3,NA,1,1.15,49.153973,4.079386
